# MEMORY POOL 3-PHASE BENCHMARK RESULTS
# Test: SET:60% GET:15% DEL:10% MOD:15% (All Engines Mixed)
# Legend: 1=Initial  2=Peak  3=Clean
#
Strategy       |    VmSz1 |    VmSz2 |    VmSz3 |   VmRSS1 |   VmRSS2 |   VmRSS3 |  Time_ms |      QPS |      Ops
----------------|----------|----------|----------|----------|----------|----------|----------|----------|----------
Glibc_Malloc   |    28740 |    99196 |    99252 |     7824 |    78376 |    78332 |    69206 |    14449 |  1000000
Glibc_Malloc   |    28740 |    99092 |    99036 |     7916 |    78436 |    78212 |    68989 |    14495 |  1000000
Glibc_Malloc   |    28740 |    99036 |    99084 |     7876 |    78304 |    78148 |    68563 |    14585 |  1000000
Jemalloc       |    50720 |   132640 |   132640 |    10236 |    77408 |    30176 |    68153 |    14672 |  1000000
Jemalloc       |    50720 |   132640 |   132640 |    10184 |    77252 |    28768 |    67438 |    14828 |  1000000
Jemalloc       |    50720 |   132640 |   132640 |    10088 |    77248 |    29616 |    67381 |    14840 |  1000000
Custom_Mempool |    30792 |   121904 |   121388 |     7900 |    98756 |    98156 |    65743 |    15210 |  1000000
Custom_Mempool |    30792 |   121968 |   121516 |     7816 |    98840 |    98272 |    65333 |    15306 |  1000000
Custom_Mempool |    30792 |   121904 |   121388 |     7836 |    98788 |    98220 |    65196 |    15338 |  1000000
Custom_Mempool |    30792 |   121968 |   121452 |     7884 |    98720 |    98096 |    62900 |    15898 |  1000000
Custom_Mempool |    30792 |   121904 |   121388 |     7912 |    98848 |    98196 |    63406 |    15771 |  1000000
